factor,family,rank_ic,icir,annu_ic,hl_annu_ret,hl_sharpe,hl_mdd,daily_turnover,implied_annu_fee,net_sharpe,gross_sharpe_tradable,monotonicity,direction
epsilon_u,mechanism,0.010727607535442734,1.6206086632519268,0.16961836828192262,0.30311410074577505,2.581331977325656,-0.1115291631834127,3.1282552447570584,0.5865478583919485,-8.607856900379527,1.3150937571933927,-0.6,-1
epsilon_d,mechanism,0.03707720754115546,5.799341032993288,0.5862421255441124,0.12625406564007646,1.0543263912306262,-0.16799334037267144,3.120153513151307,0.58502878371587,-7.363364818943545,2.7176027262948432,0.7454545454545454,1
tgd_eps,mechanism,0.047409099440544826,8.52993303048529,0.7496036802476805,0.45679648692412195,4.3302499787228745,-0.09607510037895131,3.4450144004360124,0.6459402000817522,-4.653794957049153,7.411651526614343,0.9272727272727272,1
epsilon_u_MA20,mechanism,0.03700140087147984,3.7852304335602875,0.5850435168540775,0.12720909091772772,0.8196916360550706,-0.16943640523974549,0.3465552543845346,0.06497911019710025,0.01512928618074956,0.9168735335705034,0.9515151515151514,1
epsilon_d_MA20,mechanism,0.04581735498514052,4.738189704984828,0.724435990587571,0.21882509128605604,1.3851767063053964,-0.1811493999211912,0.33730428240949495,0.0632445529517803,0.7504173606734079,1.6343825017906455,0.9151515151515152,1
TGD20,mechanism,0.04300992457045369,6.979512239654615,0.6800466181733639,0.3687197446263753,2.768625587644666,-0.18987277489510646,0.64709891384379,0.12133104634571062,1.5832471310806424,3.491588668570937,0.9878787878787878,1
Gu_MA20,family,0.044692344592101,4.250119027194734,0.7066480144207403,0.16106059708508827,0.9008177911693896,-0.1629345613944334,0.35865403872865803,0.06724763226162338,0.40573977263593547,1.2192169904964512,0.7333333333333332,1
Gd_MA20,family,0.04437025021894378,4.1617333442328865,0.7015552552172353,0.1783070222045343,0.9787723467752568,-0.23203492818269697,0.3192054728752255,0.05985102616410479,0.4612910329303129,1.1910772859941974,0.9272727272727272,1
tau_MA20,family,-0.004064575358669537,-0.555589277035849,-0.06426657927395776,0.042720391739341695,0.27366333153850775,-0.2470851760053729,0.8079825154268068,0.15149672164252628,-1.920487917748589,0.002359247669589539,0.33333333333333326,1
upsilon_MA20,family,-0.01783736331500124,-2.2607361107542987,-0.282033477636677,0.08335207984506736,0.5773224226748905,-0.2388810093313035,0.5655590172904874,0.10604231574196639,-1.2207073512250861,0.2689171272160272,-0.8787878787878788,-1
TGD20_family,family,0.04300992457045369,6.979512239654615,0.6800466181733639,0.3687197446263753,2.768625587644666,-0.18987277489510646,0.64709891384379,0.12133104634571062,1.5832471310806424,3.491588668570937,0.9878787878787878,1
