label,n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,year,factor
AlphaSKEW20_2020,242,0.014847155307594,0.080203054613412,2.92699746740092,0.5909090909090909,2.8797847351143995,2020,AlphaSKEW20
AlphaSKEW20_2021,243,0.0213126990967141,0.050242438608588,6.707145801230054,0.6666666666666666,6.612579093257572,2021,AlphaSKEW20
AlphaSKEW20_2022,242,0.0308630901485539,0.0727251651973356,6.710033606366462,0.6487603305785123,6.601800161063129,2022,AlphaSKEW20
AlphaSKEW20_2023,242,0.022176338310037,0.0566749716093724,6.186834967074715,0.640495867768595,6.087040762858764,2023,AlphaSKEW20
AlphaSKEW20_2024,242,0.0301034650698282,0.1329325180038402,3.5805954973796155,0.6157024793388429,3.522840170111016,2024,AlphaSKEW20
AlphaSKEW20_2025,243,0.0290717587940425,0.0709700292119224,6.476887102701122,0.6460905349794238,6.385566903414632,2025,AlphaSKEW20
AlphaIdioSKEW60_2020,242,0.0134865381153281,0.0598924567216333,3.560396461388353,0.5909090909090909,3.502966946386188,2020,AlphaIdioSKEW60
AlphaIdioSKEW60_2021,243,0.0167266163806378,0.048697616530164,5.430882359297192,0.6008230452674898,5.354310195619108,2021,AlphaIdioSKEW60
AlphaIdioSKEW60_2022,242,0.0169573623178257,0.0449950105605183,5.958870479752091,0.6611570247933884,5.8627533632106825,2022,AlphaIdioSKEW60
AlphaIdioSKEW60_2023,242,0.0177446616956697,0.0564396336378422,4.971111934170878,0.6115702479338843,4.890927451769279,2023,AlphaIdioSKEW60
AlphaIdioSKEW60_2024,242,0.027121670199857,0.096884084358251,4.426230187732497,0.6239669421487604,4.354834696885869,2024,AlphaIdioSKEW60
AlphaIdioSKEW60_2025,243,0.029804652835945,0.0684338528030423,6.8862546803731375,0.6790123456790124,6.789162645298611,2025,AlphaIdioSKEW60
