period,kind,n_days,rank_ic,icir,pos_ic_frac
2020,year,242,0.0357738463647875,8.011320110958984,0.6983471074380165
2021,year,243,0.03601699087527028,6.688031010289194,0.654320987654321
2022,year,242,0.04686601721521109,9.118505389353059,0.7272727272727273
2023,year,242,0.052094091115159016,8.95013999633366,0.731404958677686
2024,year,242,0.031650212272890825,4.2528623883502545,0.640495867768595
2025,year,243,0.04287521421825914,7.057861301486832,0.6831275720164609
2020-2021,block,485,0.03589566928447269,7.262478163297087,0.6762886597938145
2022-2023,block,484,0.04948005416518506,9.016963664966145,0.7293388429752066
2024-2025,block,485,0.03727428541252896,5.486502481085437,0.6618556701030928
